"reviewerId","stars","artistId","artistName","albumId","albumName"
"11","3","1036","SAVIOUR MACHINE","5390","Legend Part I"
"11","3","549","NEKTAR","2735","Sunday Night at London Roundhouse "
"11","3","846","ZERO HOUR","4514","Zero Hour [Aka: Metamorphosis]"
"11","2","766","RICK WAKEMAN","4537","Crimes Of Passion (OST)"
"11","5","418","JETHRO TULL","2046","Living With The Past "
"11","5","5316","SPOOKY TOOTH","27641","Spooky Two"
"11","4","173","JADE WARRIOR","643","Jade Warrior"
"11","5","191","KING CRIMSON","1911","Red"
"11","2","26","AREA","112","Chernobyl 7991"
"11","4","5897","KORNET","30672","Kornet 3"
"11","2","963","LUCIFER&apos;S FRIEND","5110","Mean Machine"
"12","3","191","KING CRIMSON","1914","Discipline"
"11","4","3790","DAVID BOWIE","18804","Santa Monica &apos;72"
"11","5","94","EMERSON LAKE &amp; PALMER","1862","Emerson Lake &amp; Palmer"
"11","4","646","MAGMA","3307","K&#xFFFD;hntark&#xFFFD;sz"
"5","4","78","DEUS EX MACHINA","52232","Devoto"
"6","4","320","SPOCK&apos;S BEARD","1266","The Light"
"11","5","819","TRANS-SIBERIAN ORCHESTRA","4385","Beethoven&apos;s Last Night"
"11","5","657","WIGWAM","3433","Fairyport"
"13","5","36","BANCO DEL MUTUO SOCCORSO","1802","...Di Terra"
"11","4","324","SUPERTRAMP","1252","Crisis? What Crisis?"
"11","4","95","ELOY","506","Inside"
"11","4","2380","MAN","10904","Man"
"11","3","278","LE ORME","2305","Verit&#xFFFD; Nascoste"
"6","3","1295","TANGERINE DREAM","6352","Exit"
"6","4","1295","TANGERINE DREAM","10490","Livemiles"
"11","3","748","IT BITES","3899","Calling all the Heroes : The Best of It Bites "
"7","5","198","LANDS END","777","Natural Selection"
"11","5","2185","RAG I RYGGEN","10110","R&#xFFFD;g I Ryggen "
"11","4","5675","BJORN J:SON LINDH","29585","Cous Cous"
"11","5","782","STEVE HACKETT","4206","Live Archives 70,80,90s"
"5","5","378","DREAM THEATER","1672","Metropolis Part 2 - Scenes from a Memory"
"11","3","1","GENESIS","1519","Genesis"
"11","3","268","NORTH STAR","1010","Feel The Cold"
"11","3","2437","WISHBONE ASH","11469","Front Page News"
"11","5","3790","DAVID BOWIE","18769","Station to Station"
"11","3","1385","ELEGANT SIMPLICITY","6690","Reversal Of Time"
"11","2","961","BIRTH CONTROL","5097","Jungle Life"
"11","5","685","THINKING PLAGUE","3629","In Extremis"
"11","2","306","SAGA","2224","Wildest Dreams"
"11","3","288","PENDRAGON","1124","The Rest of Pendragon"
"11","3","1440","THE MOOR","9945","Every Pixie Sells A Story "
"11","3","3253","BLACK SABBATH","16789","The Eternal Idol"
"11","5","851","PRESENT","4664","High Infidelity"
"11","4","916","HORIZONT","4943","The Portrait Of A Boy"
"11","4","500","DELIRIUM","2520","III (Viaggio Negli Arcipelaghi Del Tempo)"
"11","2","1321","EKSEPTION","6488","Ekseption &apos;78"
"6","3","288","PENDRAGON","1120","Not of This World"
"11","4","1967","SEDMINA","9010","II - Dejanje"
"11","3","181","KAIPA","15931","&#xFFFD;ntligen / Staden Lever"
"11","5","191","KING CRIMSON","1914","Discipline"
"7","5","314","SHADOW GALLERY","7550","Room V"
"12","4","855","AMON D&#xFFFD;&#xFFFD;L II","4692","Tanz Der Lemminge [Aka: Dance Of The Lemmings]"
"11","5","894","MILLENNYA","4867","Time Has Come "
"11","1","961","BIRTH CONTROL","28609","35th Anniversary - Live At Rockpalast"
"11","5","367","AVALON","1499","Mystic Places"
"11","4","165","IQ","4822","The Lost Attic - A Collection Of Rarities (1983-1999)"
"6","5","36","BANCO DEL MUTUO SOCCORSO","170","Io Sono Nato Libero"
"11","4","480","IL VOLO","2485","Essere O Non Essere ?"
"11","5","226","NATHAN MAHL","979","The Clever Use of Shadows "
"11","4","5675","BJORN J:SON LINDH","35286","Boogie Woogie"
"11","4","5316","SPOOKY TOOTH","27640","It&apos;s All About [Aka: Tobacco Road]"
"11","4","1023","FRANK ZAPPA","5418","The Man From Utopia"
"11","3","5316","SPOOKY TOOTH","27644","Witness"
"11","2","655","BARCLAY JAMES  HARVEST","3395","Turn Of The Tide"
"11","4","1023","FRANK ZAPPA","5343","Does Humor Belong In Music?"
"11","5","432","DEVIN TOWNSEND","2344","Infinity"
"11","2","3171","JERONIMO","16446","Cosmic Blues"
"11","2","963","LUCIFER&apos;S FRIEND","5111","Lucifer&apos;s Friend II: Sumogrip"
"5","5","378","DREAM THEATER","51098","The Astonishing"
"11","4","1696","WEATHER REPORT","8009","Tale Spinnin&apos;"
"11","5","589","STRAWBS","2896","Hero And Heroine"
"11","4","1495","VOIVOD","23683","Infini"
"11","3","2432","FRUMPY","11331","Frumpy Live"
"11","5","1368","BO HANSSON","6644","The Best Of Bo Hansson"
"11","3","782","STEVE HACKETT","4178","Sketches Of Satie"
"11","4","1608","VANGELIS","7546","Beaubourg"
"11","2","583","NEW TROLLS","2852","Aldebaran"
"5","2","105","YES","1829","Relayer"
"11","4","1023","FRANK ZAPPA","5344","Fillmore East, June 1971"
"11","3","3171","JERONIMO","16447","Time Ride"
"11","3","1072","SH&apos;MANTRA","5591","Formula Orange"
"11","4","2940","BLUE &#xFFFD;YSTER CULT","15092","Spectres"
"11","4","1195","DECADENCE","6041","Dreams of Nekton"
